sec,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-3.612,6,4,-4,6,0,-1,-1,-1
-3.608,-1,-2,3,-11,0,4,0,-2
-3.604,-9,-1,7,-6,0,0,2,-4
-3.6,-1,0,7,7,1,-5,0,0
-3.596,8,-1,-1,6,3,-1,0,2
-3.592,4,0,-9,0,0,-2,0,2
-3.588,-1,4,-2,-1,-3,0,0,1
-3.584,-2,5,4,-1,0,5,-1,-2
-3.58,-3,0,3,-1,0,2,-1,0
-3.576,-1,-4,0,1,-1,-4,0,0
-3.572,4,1,2,1,3,-1,0,0
-3.568,-1,2,0,-2,3,0,0,1
-3.564,-2,-1,-6,1,-1,-3,-1,0
-3.56,3,-2,-4,2,-2,-4,1,-1
-3.556,4,0,3,-1,-1,1,0,0
-3.552,-1,4,7,-2,0,6,-1,2
-3.548,-2,4,3,-1,0,2,0,0
-3.544,0,-2,1,0,3,-7,0,-2
-3.54,0,-2,-5,4,3,-6,-2,-1
-3.536,-1,3,-5,0,0,5,0,-1
-3.532,4,1,0,-1,-1,5,-1,-2
-3.528,4,-4,4,3,0,-9,0,-2
-3.524,-4,-3,4,5,-2,-9,0,-1
-3.52,-5,4,0,-1,-1,4,1,0
-3.516,1,6,-1,-9,0,7,0,1
-3.512,5,1,-1,-4,0,-2,-1,0
-3.508,6,-4,1,8,2,-5,0,0
-3.504,0,-4,5,9,2,1,0,0
-3.5,-6,1,-1,0,-1,-1,1,-1
-3.496,-3,3,-5,-6,-2,-6,0,-1
-3.492,2,0,-1,-2,0,3,0,0
-3.488,1,-1,4,4,-1,8,0,2
-3.484,-1,5,-2,-1,-2,2,0,0
-3.48,5,6,-3,-5,1,-3,-1,0
-3.476,4,-2,2,0,6,-6,-1,1
-3.472,-4,-7,7,8,1,-3,0,0
-3.468,-5,-3,1,4,0,3,0,-1
-3.464,3,4,-1,1,0,5,0,0
-3.46,3,3,-1,-2,-1,0,1,1
-3.456,0,2,-5,-5,-2,-2,2,3
